Region,County,First Dose,Series Complete,Report as of
Central New York,Madison,60,0,12/19/2020
Finger Lakes,Monroe,1409,2,12/19/2020
Mohawk Valley,Montgomery,32,0,12/19/2020
Long Island,Nassau,2315,6,12/19/2020
New York City,New York,3891,9,12/19/2020
Western New York,Niagara,208,0,12/19/2020
Mohawk Valley,Oneida,320,0,12/19/2020
Central New York,Onondaga,831,2,12/19/2020
Finger Lakes,Ontario,90,0,12/19/2020
Mid-Hudson,Orange,784,6,12/19/2020
Finger Lakes,Orleans,16,0,12/19/2020
Central New York,Oswego,33,0,12/19/2020
Mohawk Valley,Otsego,71,0,12/19/2020
Mid-Hudson,Putnam,88,2,12/19/2020
New York City,Queens,2088,9,12/19/2020
Capital Region,Rensselaer,211,1,12/19/2020
New York City,Richmond,913,0,12/19/2020
Mid-Hudson,Rockland,591,0,12/19/2020
Capital Region,Saratoga,485,1,12/19/2020
Capital Region,Schenectady,299,0,12/19/2020
Mohawk Valley,Schoharie,12,0,12/19/2020
Southern Tier,Schuyler,0,0,12/19/2020
Finger Lakes,Seneca,7,0,12/19/2020
North Country,St. Lawrence,512,1,12/19/2020
Southern Tier,Steuben,6,0,12/19/2020
Long Island,Suffolk,1566,6,12/19/2020
Mid-Hudson,Sullivan,41,0,12/19/2020
Southern Tier,Tioga,2,0,12/19/2020
Southern Tier,Tompkins,10,0,12/19/2020
Mid-Hudson,Ulster,181,1,12/19/2020
Capital Region,Warren,106,0,12/19/2020
Capital Region,Washington,42,0,12/19/2020
Finger Lakes,Wayne,38,1,12/19/2020
Mid-Hudson,Westchester,1613,5,12/19/2020
Finger Lakes,Wyoming,16,0,12/19/2020
Finger Lakes,Yates,5,0,12/19/2020
Capital Region,Albany,811,3,12/20/2020
Western New York,Allegany,48,0,12/20/2020
New York City,Bronx,723,1,12/20/2020
Southern Tier,Broome,16,0,12/20/2020
Western New York,Cattaraugus,163,0,12/20/2020
Central New York,Cayuga,31,0,12/20/2020
Western New York,Chautauqua,141,0,12/20/2020
Southern Tier,Chemung,5,1,12/20/2020
Southern Tier,Chenango,8,0,12/20/2020
North Country,Clinton,44,0,12/20/2020
Capital Region,Columbia,83,0,12/20/2020
Central New York,Cortland,3,0,12/20/2020
Southern Tier,Delaware,5,0,12/20/2020
Mid-Hudson,Dutchess,320,3,12/20/2020
Western New York,Erie,2110,3,12/20/2020
North Country,Essex,26,0,12/20/2020
North Country,Franklin,129,0,12/20/2020
Mohawk Valley,Fulton,30,0,12/20/2020
Finger Lakes,Genesee,25,0,12/20/2020
Capital Region,Greene,37,0,12/20/2020
North Country,Hamilton,1,0,12/20/2020
Mohawk Valley,Herkimer,76,0,12/20/2020
North Country,Jefferson,23,0,12/20/2020
New York City,Kings,3180,15,12/20/2020
North Country,Lewis,4,0,12/20/2020
Finger Lakes,Livingston,44,0,12/20/2020
Central New York,Madison,68,0,12/20/2020
Finger Lakes,Monroe,1582,2,12/20/2020
Mohawk Valley,Montgomery,59,0,12/20/2020
Long Island,Nassau,2504,8,12/20/2020
New York City,New York,4121,11,12/20/2020
Western New York,Niagara,225,0,12/20/2020
Mohawk Valley,Oneida,353,0,12/20/2020
Central New York,Onondaga,907,2,12/20/2020
Finger Lakes,Ontario,96,0,12/20/2020
Mid-Hudson,Orange,858,7,12/20/2020
Finger Lakes,Orleans,20,0,12/20/2020
Central New York,Oswego,38,0,12/20/2020
Mohawk Valley,Otsego,128,0,12/20/2020
Mid-Hudson,Putnam,92,2,12/20/2020
New York City,Queens,2228,10,12/20/2020
Capital Region,Rensselaer,222,1,12/20/2020
New York City,Richmond,1071,0,12/20/2020
Mid-Hudson,Rockland,605,0,12/20/2020
Capital Region,Saratoga,493,1,12/20/2020
Capital Region,Schenectady,316,0,12/20/2020
Mohawk Valley,Schoharie,19,0,12/20/2020
Southern Tier,Schuyler,0,0,12/20/2020
Finger Lakes,Seneca,7,0,12/20/2020
North Country,St. Lawrence,598,1,12/20/2020
Southern Tier,Steuben,6,0,12/20/2020
Long Island,Suffolk,1724,7,12/20/2020
Mid-Hudson,Sullivan,54,1,12/20/2020
Southern Tier,Tioga,2,0,12/20/2020
Southern Tier,Tompkins,11,0,12/20/2020
Mid-Hudson,Ulster,206,2,12/20/2020
Capital Region,Warren,106,0,12/20/2020
Capital Region,Washington,42,0,12/20/2020
Finger Lakes,Wayne,46,1,12/20/2020
Mid-Hudson,Westchester,1667,6,12/20/2020
Finger Lakes,Wyoming,22,0,12/20/2020
Finger Lakes,Yates,5,0,12/20/2020
Capital Region,Albany,880,3,12/21/2020
Western New York,Allegany,53,0,12/21/2020
New York City,Bronx,934,1,12/21/2020
Southern Tier,Broome,21,0,12/21/2020
Western New York,Cattaraugus,179,0,12/21/2020
Central New York,Cayuga,63,0,12/21/2020
Western New York,Chautauqua,169,0,12/21/2020
Southern Tier,Chemung,5,1,12/21/2020
Southern Tier,Chenango,19,0,12/21/2020
North Country,Clinton,97,0,12/21/2020
Capital Region,Columbia,102,0,12/21/2020
Central New York,Cortland,17,0,12/21/2020
Southern Tier,Delaware,6,0,12/21/2020
Mid-Hudson,Dutchess,402,6,12/21/2020
Western New York,Erie,2912,3,12/21/2020
North Country,Essex,37,0,12/21/2020
North Country,Franklin,170,0,12/21/2020
Mohawk Valley,Fulton,76,0,12/21/2020
Finger Lakes,Genesee,30,1,12/21/2020
Capital Region,Greene,48,0,12/21/2020
North Country,Hamilton,1,0,12/21/2020
Mohawk Valley,Herkimer,88,0,12/21/2020
North Country,Jefferson,26,0,12/21/2020
New York City,Kings,3927,16,12/21/2020
North Country,Lewis,5,0,12/21/2020
Finger Lakes,Livingston,52,0,12/21/2020
Central New York,Madison,117,0,12/21/2020
Finger Lakes,Monroe,2047,2,12/21/2020
Mohawk Valley,Montgomery,100,0,12/21/2020
Long Island,Nassau,3022,10,12/21/2020
New York City,New York,4837,12,12/21/2020
Western New York,Niagara,410,0,12/21/2020
Mohawk Valley,Oneida,400,0,12/21/2020
Central New York,Onondaga,1085,4,12/21/2020
Finger Lakes,Ontario,114,0,12/21/2020
Mid-Hudson,Orange,945,9,12/21/2020
Finger Lakes,Orleans,28,0,12/21/2020
Central New York,Oswego,56,0,12/21/2020
Mohawk Valley,Otsego,161,0,12/21/2020
Mid-Hudson,Putnam,105,3,12/21/2020
New York City,Queens,2850,13,12/21/2020
Capital Region,Rensselaer,239,2,12/21/2020
New York City,Richmond,1286,1,12/21/2020
Mid-Hudson,Rockland,668,0,12/21/2020
Capital Region,Saratoga,567,2,12/21/2020
Capital Region,Schenectady,365,0,12/21/2020
Mohawk Valley,Schoharie,21,0,12/21/2020
